City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.12,78,2,6.26,NZ,1695073267
1,chonchi,-42.6128,-73.8092,7.29,79,60,1.11,CL,1695073267
2,lihue,21.9789,-159.3672,28.77,68,40,6.69,US,1695073242
3,puerto ayora,-0.7393,-90.3518,27.98,93,77,3.58,EC,1695073267
4,albany,42.6001,-73.9662,17.12,94,100,0.45,US,1695073258
5,villa gesell,-37.2639,-56.973,9.47,74,5,5.08,AR,1695073042
6,bredasdorp,-34.5322,20.0403,9.58,92,58,1.92,ZA,1695073267
7,port-aux-francais,-49.35,70.2167,4.31,83,77,13.76,TF,1695073267
8,khanty-mansiysk,61.0042,69.0019,9.06,93,0,3.13,RU,1695073267
9,invercargill,-46.4,168.35,12.23,67,20,3.58,NZ,1695073267
10,rongelap,11.1635,166.8941,28.24,76,94,5.9,MH,1695073268
11,grytviken,-54.2811,-36.5092,-3.39,82,88,6.09,GS,1695073268
12,hawaiian paradise park,19.5933,-154.9731,27.71,76,100,2.57,US,1695073008
13,susuman,62.7833,148.1667,4.04,57,100,3.06,RU,1695073268
14,olonkinbyen,70.9221,-8.7187,3.81,67,39,8.58,SJ,1695073268
15,howrah,22.5892,88.3103,27.0,89,75,2.06,IN,1695073107
16,iqaluit,63.7506,-68.5145,1.85,69,75,1.54,CA,1695073268
17,bethel,41.3712,-73.414,20.2,87,100,3.19,US,1695073268
18,port alfred,-33.5906,26.891,11.21,89,34,0.89,ZA,1695073268
19,bilibino,68.0546,166.4372,1.51,80,97,0.41,RU,1695073268
20,hamilton,39.1834,-84.5333,24.68,46,75,5.14,US,1695073201
21,el calafate,-50.3408,-72.2768,0.84,67,31,1.26,AR,1695073269
22,limassol,34.675,33.0333,25.1,78,0,1.03,CY,1695073269
23,clarence town,-32.5833,151.7833,25.64,29,0,1.4,AU,1695073269
24,s'arenal,39.5,2.75,24.63,69,20,1.54,ES,1695073269
25,treasure island,27.7692,-82.769,33.39,62,75,5.14,US,1695073269
26,nagqu,31.5,92.0,2.94,95,100,1.58,CN,1695073269
27,sefaatli,39.5043,34.7563,12.38,54,85,3.35,TR,1695073269
28,ushuaia,-54.8,-68.3,2.81,56,75,8.23,AR,1695073007
29,coquimbo,-29.9533,-71.3436,16.85,63,0,5.66,CL,1695073269
30,adamstown,-25.066,-130.1015,18.23,60,56,0.97,PN,1695073269
31,rio preto da eva,-2.6994,-59.6997,32.92,29,54,1.3,BR,1695073270
32,queenstown,-31.8976,26.8753,7.42,71,0,1.13,ZA,1695073052
33,kerikeri,-35.2268,173.9474,16.06,86,13,0.45,NZ,1695073270
34,ribeira grande,38.5167,-28.7,22.1,75,22,2.68,PT,1695073270
35,whitehorse,60.7161,-135.0538,10.57,71,75,5.14,CA,1695073139
36,malindi,-3.2175,40.1191,24.78,87,29,5.97,KE,1695073270
37,edinburgh of the seven seas,-37.0676,-12.3116,12.64,80,70,9.4,SH,1695073270
38,college,64.8569,-147.8028,6.97,86,100,1.54,US,1695073270
39,sydney,-33.8679,151.2073,24.62,53,0,3.09,AU,1695072733
40,praia da vitoria,38.7333,-27.0667,20.98,83,20,1.21,PT,1695073034
41,anadyr,64.75,177.4833,3.28,93,0,2.68,RU,1695073271
42,blackmans bay,-43.0167,147.3167,14.85,61,80,5.02,AU,1695073271
43,cody,44.5263,-109.0565,27.55,18,20,4.63,US,1695073170
44,tuy hoa,13.0833,109.3,24.82,91,99,1.62,VN,1695073271
45,jamestown,42.097,-79.2353,18.03,64,75,4.63,US,1695073251
46,al kharj,24.155,47.3346,34.32,16,98,3.45,SA,1695073271
47,sinabang,2.4803,96.3801,26.44,84,86,1.51,ID,1695073271
48,fale old settlement,-9.3852,-171.2468,28.12,80,47,8.44,TK,1695073271
49,labrador city,52.9463,-66.9114,12.95,71,100,2.06,CA,1695073209
50,port augusta,-32.5,137.7667,17.73,66,94,0.64,AU,1695073271
51,cambridge,43.3601,-80.3127,18.91,65,20,5.14,CA,1695073091
52,mutuali,-14.8706,37.0044,22.48,62,0,3.15,MZ,1695073272
53,yellowknife,62.456,-114.3525,14.67,86,75,6.71,CA,1695073272
54,dakoro,14.5106,6.765,27.55,62,80,7.32,NE,1695073272
55,kone,-21.0595,164.8658,24.43,69,2,2.17,NC,1695073272
56,aasiaat,68.7098,-52.8699,-3.78,81,10,1.93,GL,1695073272
57,zheleznodorozhnyy,55.7503,38.0042,11.87,68,24,1.9,RU,1695073272
58,vorgashor,67.5833,63.95,4.74,86,100,5.37,RU,1695073272
59,casino,-28.8667,153.05,16.98,64,0,1.93,AU,1695073272
60,port mathurin,-19.6833,63.4167,22.96,80,7,9.37,MU,1695073273
61,ancud,-41.8697,-73.8203,6.9,66,70,2.87,CL,1695073273
62,cova figueira,14.8905,-24.2934,23.12,78,24,4.48,CV,1695073273
63,wailua homesteads,22.0669,-159.378,28.44,68,40,6.69,US,1695073273
64,port lincoln,-34.7333,135.8667,13.47,84,20,6.09,AU,1695073273
65,happy valley-goose bay,53.3168,-60.3315,9.17,76,100,2.06,CA,1695073273
66,kingston,17.997,-76.7936,30.53,77,40,1.54,JM,1695073049
67,tremonton,41.7119,-112.1655,29.23,30,84,4.02,US,1695073273
68,reggane,26.7158,0.1714,35.3,8,8,3.59,DZ,1695073273
69,paramonga,-10.6667,-77.8333,19.71,86,54,4.26,PE,1695073274
70,saipan,15.1355,145.701,28.39,83,20,6.17,MP,1695073274
